"","Name","Height","Weight","Average_Height","Average_Weight","Year"
"320","Dan Langhi",83,"220",79.3965517241379,219.2,2000
"321","A.J. Guyton",74,"185",79.3965517241379,219.2,2000
"322","Jake Voskuhl",83,"245",79.3965517241379,219.2,2000
"323","Khalid El-Amin",69,"200",79.3965517241379,219.2,2000
"324","Mike Smith",80,"195",79.3965517241379,219.2,2000
"325","Soumalia Samake",84,"230",79.3965517241379,219.2,2000
"326","Eddie House",72,"176",79.3965517241379,219.2,2000
"327","Eduardo Najera",80,"240",79.3965517241379,219.2,2000
"328","Lavor Postell",77,"205",79.3965517241379,219.2,2000
"329","Hanno Mottola",83,"247",79.3965517241379,219.2,2000
"330","Chris Carrawell",78,"215",79.3965517241379,219.2,2000
"331","Olumide Oyedeji",82,"240",79.3965517241379,219.2,2000
"332","Michael Redd",78,"214",79.3965517241379,219.2,2000
"333","Brian Cardinal",80,"245",79.3965517241379,219.2,2000
"334","Jabari Smith",83,"240",79.3965517241379,219.2,2000
"335","DeeAndre Hulett",80,"205",79.3965517241379,219.2,2000
"336","Josip Sesar",78,"211",79.3965517241379,219.2,2000
"337","Mark Karcher",77,"214",79.3965517241379,219.2,2000
"338","Jason Hart",75,"185",79.3965517241379,219.2,2000
"339","Kaniel Dickens",80,"234",79.3965517241379,219.2,2000
"340","Igor Rakocevic",75,"183",79.3965517241379,219.2,2000
"341","Ernest Brown",84,"255",79.3965517241379,219.2,2000
"342","Dan McClintock",84,"260",79.3965517241379,219.2,2000
"343","Cory Hightower",80,"201",79.3965517241379,219.2,2000
"344","Chris Porter",79,"218",79.3965517241379,219.2,2000
"345","Jaquay Walls",75,"171",79.3965517241379,219.2,2000
"346","Scoonie Penn",70,"185",79.3965517241379,219.2,2000
"347","Pete Mickeal",77,"229",79.3965517241379,219.2,2000
"348","Kwame Brown",83,"243",79.7543859649123,228.302325581395,2001
"349","Tyson Chandler",85,"235",79.7543859649123,228.302325581395,2001
"350","Pau Gasol",84,"227",79.7543859649123,228.302325581395,2001
"351","Eddy Curry",83,"285",79.7543859649123,228.302325581395,2001
"352","Jason Richardson",78,"220",79.7543859649123,228.302325581395,2001
"353","Shane Battier",80,"220",79.7543859649123,228.302325581395,2001
"354","Eddie Griffin",82,"222",79.7543859649123,228.302325581395,2001
"355","Sagana Diop",84,"300",79.7543859649123,228.302325581395,2001
"356","Rodney White",81,"238",79.7543859649123,228.302325581395,2001
"357","Joe Johnson",79,"225",79.7543859649123,228.302325581395,2001
"358","Kedrick Brown",79,"222",79.7543859649123,228.302325581395,2001
"359","Vladimir Radmanovic",81,"206",79.7543859649123,228.302325581395,2001
"360","Richard Jefferson",79,"222",79.7543859649123,228.302325581395,2001
"361","Troy Murphy",83,"245",79.7543859649123,228.302325581395,2001
"362","Steven Hunter",84,"220",79.7543859649123,228.302325581395,2001
"363","Kirk Haston",81,"242",79.7543859649123,228.302325581395,2001
"364","Michael Bradley",82,"225",79.7543859649123,228.302325581395,2001
"365","Jason Collins",84,"260",79.7543859649123,228.302325581395,2001
"366","Zachary Randolph",81,"270",79.7543859649123,228.302325581395,2001
"367","Brendan Haywood",84,"268",79.7543859649123,228.302325581395,2001
"368","Joseph Forte",76,"192",79.7543859649123,228.302325581395,2001
"369","Jeryl Sasser",78,"200",79.7543859649123,228.302325581395,2001
"370","Brandon Armstrong",77,"185",79.7543859649123,228.302325581395,2001
"371","Raul Lopez",72,"161",79.7543859649123,228.302325581395,2001
"372","Gerald Wallace",79,"215",79.7543859649123,228.302325581395,2001
"373","Samuel Dalembert",83,"250",79.7543859649123,228.302325581395,2001
"374","Jamaal Tinsley",75,"195",79.7543859649123,228.302325581395,2001
"375","Tony Parker",74,"177",79.7543859649123,228.302325581395,2001
"376","Trenton Hassell",77,"200",79.7543859649123,228.302325581395,2001
"377","Gilbert Arenas",75,"191",79.7543859649123,228.302325581395,2001
"378","Omar Cook",73,"191",79.7543859649123,228.302325581395,2001
"379","Will Solomon",73,"185",79.7543859649123,228.302325581395,2001
"380","Terence Morris",81,"221",79.7543859649123,228.302325581395,2001
"381","Brian Scalabrine",81,"240",79.7543859649123,228.302325581395,2001
"382","Jeff Trepagnier",76,"200",79.7543859649123,228.302325581395,2001
"383","Damone Brown",80,"220",79.7543859649123,228.302325581395,2001
"384","Mehmet Okur",83,"249",79.7543859649123,228.302325581395,2001
"385","Michael Wright",79,"239",79.7543859649123,228.302325581395,2001
"386","Earl Watson",73,"195",79.7543859649123,228.302325581395,2001
"387","Jamison Brewer",76,"180",79.7543859649123,228.302325581395,2001
"388","Bobby Simmons",79,"210",79.7543859649123,228.302325581395,2001
"389","Eric Chenowith",85,"271",79.7543859649123,228.302325581395,2001
"390","Kyle Hill",73,"188",79.7543859649123,228.302325581395,2001
"391","Sean Lampley",79,"227",79.7543859649123,228.302325581395,2001
"392","Loren Woods",85,"245",79.7543859649123,228.302325581395,2001
"393","Ousmane Cisse",80,"252",79.7543859649123,228.302325581395,2001
"394","Antonis Fotsis",82,"219",79.7543859649123,228.302325581395,2001
"395","Ken Johnson",83,"240",79.7543859649123,228.302325581395,2001
"396","Ruben Boumtje-Boumtje",84,"257",79.7543859649123,228.302325581395,2001
"397","Alton Ford",81,"275",79.7543859649123,228.302325581395,2001
"398","Andre Hutson",80,"241",79.7543859649123,228.302325581395,2001
"399","Jarron Collins",83,"255",79.7543859649123,228.302325581395,2001
"400","Kenny Satterfield",74,"186",79.7543859649123,228.302325581395,2001
"401","Maurice Jeffers",76,"193",79.7543859649123,228.302325581395,2001
"402","Robertas Javtokas",82,"213",79.7543859649123,228.302325581395,2001
"403","Alvin Jones",83,"265",79.7543859649123,228.302325581395,2001
"404","Bryan Bracey",79,"211",79.7543859649123,228.302325581395,2001
"405","Yao Ming",89,"296",79.6140350877193,223.088235294118,2002
"406","Jay Williams",72,"197",79.6140350877193,223.088235294118,2002
"407","Mike Dunleavy",81,"221",79.6140350877193,223.088235294118,2002
"408","Drew Gooden",82,"230",79.6140350877193,223.088235294118,2002
"409","Nikoloz Tskitishvili",84,"225",79.6140350877193,223.088235294118,2002
"410","Dajuan Wagner",75,"200",79.6140350877193,223.088235294118,2002
"411","Nene Hilario",83,"260",79.6140350877193,223.088235294118,2002
"412","Chris Wilcox",82,"221",79.6140350877193,223.088235294118,2002
"413","Amare Stoudemire",82,"245",79.6140350877193,223.088235294118,2002
